0,82.41
1,87.31
2,92.5
3,98
4,103.83
5,110
6,116.54
7,123.47
8,130.81
9,138.59
10,146.83
11,155.56
12,164.81
13,174.61
14,185
15,196
16,207.65
17,220
18,233.08
19,246.94
20,261.63
21,277.18
22,293.66
23,311.13
24,329.63
25,110
26,116.54
27,123.47
28,130.81
29,138.59
30,146.83
31,155.56
32,164.81
33,174.61
34,185
35,196
36,207.65
37,220
38,233.08
39,246.94
40,261.63
41,277.18
42,293.66
43,311.13
44,329.63
45,349.23
46,369.99
47,392
48,415.3
49,440
50,146.83
51,155.56
52,164.81
53,174.61
54,185
55,196
56,207.65
57,220
58,233.08
59,246.94
60,261.63
61,277.18
62,293.66
63,311.13
64,329.63
65,349.23
66,369.99
67,392
68,415.3
69,440
70,466.16
71,493.88
72,523.25
73,554.37
74,587.33
75,196
76,207.65
77,220
78,233.08
79,246.94
80,261.63
81,277.18
82,293.66
83,311.13
84,329.63
85,349.23
86,369.99
87,392
88,415.3
89,440
90,466.16
91,493.88
92,523.25
93,554.37
94,587.33
95,622.25
96,659.26
97,698.46
98,739.99
99,783.99
100,246.94
101,261.63
102,277.18
103,293.66
104,311.13
105,329.63
106,349.23
107,369.99
108,392
109,415.3
110,440
111,466.16
112,493.88
113,523.25
114,554.37
115,587.33
116,622.25
117,659.26
118,698.46
119,739.99
120,783.99
121,830.61
122,880
123,932.33
124,987.77
125,329.63
126,349.23
127,369.99
128,392
129,415.3
130,440
131,466.16
132,493.88
133,523.25
134,554.37
135,587.33
136,622.25
137,659.26
138,698.46
139,739.99
140,783.99
141,830.61
142,880
143,932.33
144,987.77
145,1046.5
146,1108.73
147,1174.66
148,1244.51
149,1318.51